episode,arm,cell,policy,verdict,operator_placed,op_force_flag,class,grasp_success,haptic_success,under_grasp,over_grasp,crush,n_closes,close_src,t_first_close_s,z_first_close_mm,h_first_close_mm,t_grasp_close_s,z_grasp_close_mm,contact_a_evidence,pad_peak_after_close_n,pad_peak_n,pad_peak_min_n,pad_peak_take_n,pad_peak_take_min_n,pad_peak_pinch_n,area_peak_after_close,hold_s,lift_mm,drop,released,z_release_mm,y_release_m,ctrl_releases,obj2_frac_hold,obj2_frac_after_close,stop_reason,n_replans,agree,disagreement,notes,rule_grasp_ok
ep_student_waffles_1789484551_009,dp,119,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.03,0.04,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,11,True,,operator: f,
ep_student_waffles_1789484605_010,dp,120,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.7,0.03,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,12,True,,operator: f,
ep_student_waffles_1789500023_000,stu_simft_001000,101,student,s,True,False,placed_clean,True,True,False,False,False,2,"actions[:,6] (command)",11.17,67.3,35.8,11.17,67.3,"load 12.3N, area 12.0",12.29,12.29,10.5,12.29,10.5,12.29,12.0,14.9,286.7,False,True,119.6,0.068,0,0.878,0.0,safety_stop,58,True,,operator: s,
ep_student_waffles_1789500114_001,stu_simft_001000,102,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",15.59,61.8,30.3,15.59,61.8,"load 18.2N, area 14.6, gOBJ2 0.61",18.23,18.23,11.4,18.23,11.4,18.23,14.6,13.0,286.2,False,True,121.8,0.0808,0,0.837,0.613,operator_stop,66,True,,operator: s,
ep_student_waffles_1789500182_002,stu_simft_001000,103,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.68,69.7,38.2,12.68,69.7,"load 12.6N, area 14.0, gOBJ2 0.41",12.57,12.57,10.31,12.57,10.31,12.57,14.0,13.4,274.7,False,True,125.8,0.0971,0,0.832,0.41,operator_stop,56,True,,operator: s,
ep_student_waffles_1789500245_003,stu_simft_001000,104,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.21,0.8,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,safety_stop,12,True,,operator: f,
ep_student_waffles_1789500278_004,stu_simft_001000,105,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.32,66.0,34.5,12.32,66.0,"load 14.6N, area 9.9, gOBJ2 0.40",14.61,14.61,9.76,14.61,9.76,14.61,9.9,14.45,278.7,False,True,116.1,0.075,0,0.809,0.397,operator_stop,64,True,,operator: s,
ep_student_waffles_1789500352_005,stu_simft_001000,106,student,s,True,False,placed_clean,True,True,False,False,False,2,"actions[:,6] (command)",12.4,64.1,32.6,13.36,61.7,"load 12.6N, area 5.5, gOBJ2 0.53",12.61,12.61,6.65,12.61,6.65,12.61,5.5,13.7,294.4,False,True,123.3,0.0839,0,0.844,0.526,safety_stop,60,True,,operator: s,
ep_student_waffles_1789500417_006,stu_simft_001000,107,student,s,True,False,placed_clean,True,True,False,False,False,2,"actions[:,6] (command)",10.59,57.8,26.3,10.59,57.8,"load 15.9N, area 14.3, gOBJ2 0.96",15.94,15.94,10.73,15.94,10.73,15.94,14.3,13.5,291.0,False,True,119.7,0.076,0,0.834,0.96,operator_stop,46,True,,operator: s,
ep_student_waffles_1789500515_007,stu_simft_001000,108,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",13.57,66.5,35.0,13.57,66.5,"load 19.4N, area 23.3, gOBJ2 0.31",19.41,19.41,15.46,19.41,15.46,19.41,23.3,14.0,276.2,False,True,119.0,0.0911,0,0.786,0.306,operator_stop,58,True,,operator: s,
ep_student_waffles_1789500580_008,stu_simft_001000,109,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.0,69.1,37.6,12.0,69.1,"load 16.1N, area 11.2, gOBJ2 0.36",16.13,16.13,14.49,16.13,14.49,16.13,11.2,14.65,283.2,False,True,123.4,0.0768,0,0.84,0.359,operator_stop,60,True,,operator: s,
ep_student_waffles_1789500673_009,stu_simft_001000,110,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.64,59.6,28.1,12.64,59.6,"load 12.0N, area 15.9, gOBJ2 0.52",12.03,12.03,9.34,12.03,9.34,12.03,15.9,12.2,284.8,False,True,115.0,0.0936,0,0.902,0.517,operator_stop,54,True,,operator: s,
ep_student_waffles_1789505005_000,stu_simft_001000,111,student,s,True,False,placed_clean,True,True,False,False,False,2,"actions[:,6] (command)",11.31,63.6,32.1,13.43,73.5,"load 9.7N, area 6.5, gOBJ2 0.92",9.68,9.68,8.67,9.68,8.67,9.68,6.5,13.15,296.3,False,True,130.8,0.0743,0,0.903,0.919,safety_stop,60,True,,operator: s,
ep_student_waffles_1789505068_001,stu_simft_001000,112,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",13.12,59.2,27.7,13.12,59.2,"load 11.7N, area 5.9, gOBJ2 0.67",11.74,11.74,8.41,11.74,8.41,11.74,5.9,13.2,283.8,False,True,136.5,0.0862,0,0.909,0.672,operator_stop,54,True,,operator: s,
ep_student_waffles_1789505119_002,stu_simft_001000,113,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",14.57,72.3,40.8,14.57,72.3,"load 20.8N, area 18.2",20.84,20.84,17.65,20.84,17.65,20.84,18.2,14.45,283.1,False,True,127.2,0.0787,0,0.831,0.0,operator_stop,59,True,,operator: s,
ep_student_waffles_1789505178_003,stu_simft_001000,114,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",11.27,66.9,35.4,11.27,66.9,"load 9.7N, area 6.1, gOBJ2 0.39",9.72,9.72,8.36,9.72,8.36,9.72,6.1,12.7,282.7,False,True,132.2,0.0969,0,0.856,0.386,operator_stop,51,True,,operator: s,
ep_student_waffles_1789505493_000,stu_simft_001000,115,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",10.97,75.0,43.5,10.97,75.0,"load 20.2N, area 12.0, gOBJ2 0.31",20.2,20.2,15.34,20.2,15.34,20.2,12.0,12.95,277.2,False,True,119.2,0.0972,0,0.869,0.31,safety_stop,58,True,,operator: s,
ep_student_waffles_1789505559_001,stu_simft_001000,116,student,s,True,False,placed_clean,True,True,False,False,False,2,"actions[:,6] (command)",12.68,66.7,35.2,15.12,86.3,"load 16.0N, area 7.6, gOBJ2 0.96",15.98,15.98,10.41,15.98,10.41,15.98,7.6,12.95,270.5,False,True,148.3,0.0924,1,0.935,0.956,operator_stop,63,True,,operator: s,
ep_student_waffles_1789505618_002,stu_simft_001000,117,student,s,True,False,placed_clean,True,True,False,False,False,2,"actions[:,6] (command)",15.92,62.8,31.3,17.49,62.3,"load 8.3N, area 3.8, gOBJ2 0.94",8.29,8.29,5.93,8.29,5.93,8.29,3.8,15.05,278.2,False,True,123.2,0.0616,0,0.877,0.942,safety_stop,70,True,,operator: s,
ep_student_waffles_1789505696_003,stu_simft_001000,118,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.17,67.9,36.4,12.17,67.9,"load 14.7N, area 13.5, gOBJ2 0.67",14.72,14.72,12.0,14.72,12.0,14.72,13.5,15.55,276.6,False,True,137.0,0.0856,0,0.849,0.667,safety_stop,63,True,,operator: s,
ep_student_waffles_1789505765_004,stu_simft_001000,119,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.0,64.8,33.3,12.0,64.8,"load 14.0N, area 16.6, gOBJ2 0.43",13.98,13.98,11.51,13.98,11.51,13.98,16.6,14.45,299.9,False,True,121.4,0.1064,0,0.82,0.426,operator_stop,65,True,,operator: s,
ep_student_waffles_1789505832_005,stu_simft_001000,120,student,s,True,False,placed_clean,True,True,False,False,False,3,"actions[:,6] (command)",11.6,71.8,40.3,11.6,71.8,"load 13.4N, area 18.5",13.4,13.4,12.35,13.4,12.35,13.4,18.5,14.05,284.0,False,True,137.6,0.0654,0,0.871,0.0,safety_stop,62,True,,operator: s,
ep_teacher_Carton_1789501995_000,v6_simft2k,101,teacher,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.85,0.06,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,12,True,,operator: f,
ep_teacher_Carton_1789502023_001,v6_simft2k,102,teacher,f,False,False,held_dropped,True,False,True,False,False,1,"actions[:,6] (command)",10.66,94.9,28.8,10.66,94.9,"load 12.6N, area 14.4",12.6,12.6,9.17,12.6,9.17,12.6,14.4,3.95,189.7,True,True,284.4,-0.2275,0,0.0,0.0,safety_stop,35,True,,operator: f,
ep_teacher_Carton_1789502086_002,v6_simft2k,103,teacher,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.45,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,11,True,,operator: f,
ep_teacher_Carton_1789502114_003,v6_simft2k,104,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.15,105.2,39.1,12.15,105.2,"load 12.7N, area 32.8",12.71,12.71,11.16,12.71,11.16,12.71,32.8,21.25,229.3,False,True,157.3,0.0474,1,0.831,0.149,operator_stop,83,True,,operator: s,
ep_teacher_Carton_1789502177_004,v6_simft2k,105,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.14,103.7,37.6,12.14,103.7,"load 12.3N, area 16.0, gOBJ2 0.20",12.34,12.34,11.91,12.34,11.91,12.34,16.0,22.1,243.4,False,True,155.7,0.07,0,0.825,0.2,safety_stop,104,True,,operator: s,
ep_teacher_Carton_1789502257_005,v6_simft2k,106,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",10.46,98.0,31.9,10.46,98.0,"load 14.2N, area 29.7",14.17,14.17,10.99,14.17,10.99,14.17,29.7,20.1,261.1,False,True,157.4,0.0681,1,0.761,0.0,operator_stop,81,True,,operator: s,
ep_teacher_Carton_1789502312_006,v6_simft2k,107,teacher,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.42,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,9,True,,operator: f,
ep_teacher_Carton_1789502330_007,v6_simft2k,108,teacher,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,2.82,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,11,True,,operator: f,
ep_teacher_Carton_1789502351_008,v6_simft2k,109,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",13.72,109.9,43.8,13.72,109.9,"load 10.4N, area 9.6",10.39,10.39,10.09,10.39,10.09,10.39,9.6,20.8,242.6,False,True,157.5,0.0442,1,0.0,0.0,operator_stop,99,True,,operator: s,
ep_teacher_Carton_1789502412_009,v6_simft2k,110,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",11.75,83.2,17.1,11.75,83.2,"load 12.4N, area 10.4, gOBJ2 0.23",12.36,12.36,11.84,12.36,11.84,12.36,10.4,22.2,262.1,False,True,156.9,0.068,1,0.868,0.234,operator_stop,109,True,,operator: s,
ep_teacher_Carton_1789502505_000,v6_simft2k,111,teacher,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.6,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,10,True,,operator: f,
ep_teacher_Carton_1789502523_001,v6_simft2k,112,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",8.2,88.0,21.9,8.2,88.0,"load 11.2N, area 5.4",11.25,11.25,5.78,11.25,6.1,11.25,5.4,17.1,261.9,False,True,156.7,0.0886,1,0.908,0.147,operator_stop,68,True,,operator: s,
ep_teacher_Carton_1789502578_002,v6_simft2k,113,teacher,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,2.08,0.04,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,13,True,,operator: f,
